ID,Species_Name,vgp_group,Accession,Secondary_Accession
bPasDom,Passer_domesticus,birds,GCF_036417665.1,GCA_036417895.1
bAptMan,Apteryx_mantelli,birds,GCF_036417845.1,GCA_036417975.1
mSacBil,Saccopteryx_bilineata,mammals,GCF_036850765.1,GCA_036850925.1
mSacLep,Saccopteryx_leptura,mammals,GCF_036850995.1,GCA_036851165.1
sNarBan,Narcine_bancroftii,sharks,GCF_036971445.1,GCA_036971175.1
bLatDis,Lathamus_discolor,birds,GCF_037157495.1,GCA_037157625.1
rAnoSag,Anolis_sagrei,reptiles,GCF_037176765.1,GCA_037176775.1
mMacFas,Macaca_fascicularis,mammals,GCF_037993035.1,GCA_011100615.1
fChaTri,Chaetodon_trifascialis,fishes,GCF_039877785.1,GCA_039877575.1
mPseCra,Pseudorca_crassidens,mammals,GCF_039906515.1,GCA_039906525.1
bAnsCyg,Anser_cygnoides,birds,GCF_040182565.1,GCA_025388735.1
bStrCam,Struthio_camelus,birds,GCF_040807025.1,GCA_040807015.1
aEngPus,Engystomops_pustulosus,amphibians,GCF_040894005.1,GCA_040894015.1
aAmbMex,Ambystoma_mexicanum,amphibians,GCF_040938575.1,GCA_002915635.3
fLepOcu,Lepisosteus_oculatus,fishes,GCF_040954835.1,GCA_040954845.1
fPemKlu,Pempheris_klunzingeri,fishes,GCF_042242105.1,GCA_042242125.1
mMacNem,Macaca_nemestrina,mammals,GCF_043159975.1,GCA_043161795.1
fEnoArm,Enoplosus_armatus,fishes,GCF_043641665.1,GCA_043640875.1
sPriJap,Pristiophorus_japonicus,sharks,GCF_044704955.1,GCA_044704965.1
mMarFla,Marmota_flaviventris,mammals,GCF_047511675.1,GCA_047512175.1
mCanLup,Canis_lupus,mammals,GCF_048164855.1,GCA_048164845.1
fAnaTes,Anabas_testudineus,fishes,GCF_900324465.2,GCA_900650485.1
fMasArm,Mastacembelus_armatus,fishes,GCF_900324485.2,GCA_019455525.1
fCotGob,Cottoperca_gobio,fishes,GCF_900634415.1,GCA_900634435.1
fParRan,Parambassis_ranga,fishes,GCF_900634625.1,GCA_900651595.1
fGouWil,Gouania_willdenowi,fishes,GCF_900634775.1,GCA_900650505.1
fBetSpl,Betta_splendens,fishes,GCF_900634795.4,GCA_900651605.2
fDenClu,Denticeps_clupeoides,fishes,GCF_900700375.1,GCA_900700345.2
fErpCal,Erpetoichthys_calabaricus,fishes,GCF_900747795.2,GCA_900700845.3
fSpaAur,Sparus_aurata,fishes,GCF_900880675.1,GCA_900880695.1
fEchNau,Echeneis_naucrates,fishes,GCF_900963305.1,GCA_900963505.1
fSclFor,Scleropages_formosus,fishes,GCF_900964775.1,GCA_900964985.2
fTakRub,Takifugu_rubripes,fishes,GCF_901000725.2,GCA_901000745.3
aRhiBiv,Rhinatrema_bivittatum,amphibians,GCF_901001135.1,GCA_901001175.1
fSynAcu,Syngnathus_acus,fishes,GCF_901709675.1,GCA_948146105.1
fSalFas,Salarias_fasciatus,fishes,GCF_902148845.1,GCA_902148835.1
fSphOrb,Sphaeramia_orbicularis,fishes,GCF_902148855.1,GCA_902148825.1
fMyrMur,Myripristis_murdjan,fishes,GCF_902150065.1,GCA_902148815.1
fGadMor,Gadus_morhua,fishes,GCF_902167405.1,GCA_010882105.1
fChaCha,Chanos_chanos,fishes,GCF_902362185.1,GCA_902362175.1
eAstRub,Asterias_rubens,other,GCF_902459465.1,GCA_902459445.1
aGeoSer,Geotrypetes_seraphini,amphibians,GCF_902459505.1,GCA_902459495.1
fThaAma,Thalassophryne_amazonica,fishes,GCF_902500255.1,GCA_902500245.1
mLutLut,Lutra_lutra,mammals,GCF_902655055.1,GCA_902653095.1
mSciCar,Sciurus_carolinensis,mammals,GCF_902686445.1,GCA_902685475.1
fAciRut,Acipenser_ruthenus,fishes,GCF_902713425.1,GCA_902713435.2
sScyCan,Scyliorhinus_canicula,sharks,GCF_902713615.1,GCA_902713625.2
mArvAmp,Arvicola_amphibius,mammals,GCF_903992535.2,GCA_903992525.1
mOnyTor,Onychomys_torridus,mammals,GCF_903995425.1,GCA_949787125.1
fAcaLat,Acanthopagrus_latus,fishes,GCF_904848185.1,GCA_020080195.1
aBufBuf,Bufo_bufo,amphibians,GCF_905171765.1,GCA_905171715.1
aRanTem,Rana_temporaria,amphibians,GCF_905171775.1,GCA_905171725.1
mCerEla,Cervus_elaphus,mammals,GCF_910594005.1,GCA_910593805.1
fThuMac,Thunnus_maccoyii,fishes,GCF_910596095.1,GCA_910596085.1
fThuAlb,Thunnus_albacares,fishes,GCF_914725855.1,GCA_914744365.2
mMelMel,Meles_meles,mammals,GCF_922984935.1,GCA_922990625.1
bAccGen,Accipiter_gentilis,birds,GCF_929443795.1,GCA_929447715.1
mOrcOrc,Orcinus_orca,mammals,GCF_937001465.1,GCA_937001455.1
mApoSyl,Apodemus_sylvaticus,mammals,GCF_947179515.1,GCA_947179525.1
fPlePla,Pleuronectes_platessa,fishes,GCF_947347685.1,GCA_947347695.1
bHalAlb,Haliaeetus_albicilla,birds,GCF_947461875.1,GCA_947461935.1
fPlaFle,Platichthys_flesus,fishes,GCF_949316205.1,GCA_949316195.1
fPunPun,Pungitius_pungitius,fishes,GCF_949316345.1,GCA_949316245.1
mLagAlb,Lagenorhynchus_albirostris,mammals,GCF_949774975.1,GCA_949774935.1
mDelDel,Delphinus_delphis,mammals,GCF_949987515.2,GCA_030062865.2
mBalAcu,Balaenoptera_acutorostrata,mammals,GCF_949987535.1,GCA_950005055.1
mChiNiv,Chionomys_nivalis,mammals,GCF_950005125.1,GCA_950005115.1
mEriEur,Erinaceus_europaeus,mammals,GCF_950295315.1,GCA_950295305.1
fSolSol,Solea_solea,fishes,GCF_958295425.1,GCA_958295035.1
fCarCar,Carassius_carassius,fishes,GCF_963082965.1,GCA_047456465.1
mMyoDau,Myotis_daubentonii,mammals,GCF_963259705.1,GCA_963242275.2
mGloMel,Globicephala_melas,mammals,GCF_963455315.2,GCA_963455345.2
rZooViv,Zootoca_vivipara,reptiles,GCF_963506605.1,GCA_965207765.1
fConCon,Conger_conger,fishes,GCF_963514075.1,GCA_963514125.1
fLimLim,Limanda_limanda,fishes,GCF_963576545.1,GCA_963576525.1
fLabMix,Labrus_mixtus,fishes,GCF_963584025.1,GCA_963583885.1
bCinCin,Cinclus_cinclus,birds,GCF_963662255.1,GCA_963662415.1
fScoSco,Scomber_scombrus,fishes,GCF_963691925.1,GCA_963691945.1
fOsmEpe,Osmerus_eperlanus,fishes,GCF_963692335.1,GCA_963692645.1
fSarPil,Sardina_pilchardus,fishes,GCF_963854185.1,GCA_963854175.1
bPhaCar,Phalacrocorax_carbo,birds,GCF_963921805.1,GCA_963921815.1
bChrRid,Chroicocephalus_ridibundus,birds,GCF_963924245.1,GCA_030820635.1
fThuThy,Thunnus_thynnus,fishes,GCF_963924715.1,GCA_963924655.1
fLabBer,Labrus_bergylta,fishes,GCF_963930695.1,GCA_963930765.1
bAnaAcu,Anas_acuta,birds,GCF_963932015.1,GCA_963932075.1
mOryCun,Oryctolagus_cuniculus,mammals,GCF_964237555.1,GCA_047671645.1
