ID,Species_Name,vgp_group,Accession,Secondary_Accession
bPsiEch,Psittacula_echo,birds,GCA_963264785.1,GCA_963243765.1
fGymBra,Gymnoscopelus_braueri,fishes,GCA_963280865.1,GCA_963281105.1
fLipPho,Lipophrys_pholis,fishes,GCA_963383615.1,GCA_963383635.1
fBleOce,Blennius_ocellaris,fishes,GCA_963422515.1,GCA_963422475.1
fGymMic,Gymnoscopelus_microlampas,fishes,GCA_963454915.1,GCA_963454925.1
mPleAur,Plecotus_auritus,mammals,GCA_963455305.1,GCA_963455325.1
mMarMar,Martes_martes,mammals,GCA_963455335.1,GCA_040938825.1
fMicVar,Microchirus_variegatus,fishes,GCA_963457635.1,GCA_963457655.1
fSprSpr,Sprattus_sprattus,fishes,GCA_963457725.1,GCA_963457685.1
bFriCoe,Fringilla_coelebs,birds,GCA_963513975.1,GCA_963513985.1
sRajBra,Raja_brachyura,sharks,GCA_963514005.1,GCA_963513955.1
fCheLab,Chelon_labrosus,fishes,GCA_963514085.1,GCA_963514105.1
fEutGur,Eutrigla_gurnardus,fishes,GCA_963514095.1,GCA_963514115.1
kTriCli,Trididemnum_clinides,chordates,GCA_963675345.1,GCA_963675475.1
fEchVip,Echiichthys_vipera,fishes,GCA_963691815.1,GCA_963691805.1
fScoMax,Scophthalmus_maximus,fishes,GCA_963854745.1,GCA_963854755.1
fNanAch,Nannobrachium_achirus,fishes,GCA_963921795.1,GCA_963921835.1
fProBol,Protomyctophum_bolini,fishes,GCA_963924005.1,GCA_963923985.1
kAscAsp,Ascidiella_aspersa,chordates,GCA_963924565.1,GCA_963924595.1
mMicMin,Micromys_minutus,mammals,GCA_963924665.1,GCA_963924645.1
bLarFus,Larus_fuscus,birds,GCA_963932225.1,GCA_963932325.1
fRhaSp.,Rhamphochromis_sp.,fishes,GCA_963969265.1,GCA_964273455.2
fNotCoa,Notolepis_coatsorum,fishes,GCA_963971535.1,GCA_963971485.1
fNanAnt,Nansenia_antarctica,fishes,GCA_963989245.1,GCA_963989255.1
bClaHye,Clangula_hyemalis,birds,GCA_963989345.1,GCA_963989315.1
fAbrBra,Abramis_brama,fishes,GCA_963993115.1,GCA_022829085.1
fMicPou,Micromesistius_poutassou,fishes,GCA_964030765.1,GCA_964030755.1
bNetRuf,Netta_rufina,birds,GCA_964035555.1,GCA_964035535.1
bBucCla,Bucephala_clangula,birds,GCA_964059595.1,GCA_964059605.1
mMyoMys,Myotis_mystacinus,mammals,GCA_964094495.2,GCA_964195625.1
mNeoVis,Neogale_vison,mammals,GCA_964106545.1,GCA_964106205.1
rPodPit,Podarcis_pityusensis,reptiles,GCA_964106645.2,GCA_964106635.2
mVulVul,Vulpes_vulpes,mammals,GCA_964106825.2,GCA_964106925.2
bGruGru,Grus_grus,birds,GCA_964106855.1,GCA_964059345.1
bNumArq,Numenius_arquata,birds,GCA_964106895.1,GCA_964059295.1
rPodGai,Podarcis_gaigeae,reptiles,GCA_964106915.2,GCA_964106785.1
