species,lineage,IUCN_status,captivity_flag,left_time_boundary_0,right_time_boundary_0,lambda_0,left_time_boundary_1,right_time_boundary_1,lambda_1,left_time_boundary_2,right_time_boundary_2,lambda_2,left_time_boundary_3,right_time_boundary_3,lambda_3,left_time_boundary_4,right_time_boundary_4,lambda_4,left_time_boundary_5,right_time_boundary_5,lambda_5,left_time_boundary_6,right_time_boundary_6,lambda_6,left_time_boundary_7,right_time_boundary_7,lambda_7,left_time_boundary_8,right_time_boundary_8,lambda_8,left_time_boundary_9,right_time_boundary_9,lambda_9,left_time_boundary_10,right_time_boundary_10,lambda_10,left_time_boundary_11,right_time_boundary_11,lambda_11,left_time_boundary_12,right_time_boundary_12,lambda_12,left_time_boundary_13,right_time_boundary_13,lambda_13,left_time_boundary_14,right_time_boundary_14,lambda_14,left_time_boundary_15,right_time_boundary_15,lambda_15,left_time_boundary_16,right_time_boundary_16,lambda_16,left_time_boundary_17,right_time_boundary_17,lambda_17,left_time_boundary_18,right_time_boundary_18,lambda_18,left_time_boundary_19,right_time_boundary_19,lambda_19,left_time_boundary_20,right_time_boundary_20,lambda_20,left_time_boundary_21,right_time_boundary_21,lambda_21,left_time_boundary_22,right_time_boundary_22,lambda_22,left_time_boundary_23,right_time_boundary_23,lambda_23,left_time_boundary_24,right_time_boundary_24,lambda_24,left_time_boundary_25,right_time_boundary_25,lambda_25,left_time_boundary_26,right_time_boundary_26,lambda_26,left_time_boundary_27,right_time_boundary_27,lambda_27,left_time_boundary_28,right_time_boundary_28,lambda_28,left_time_boundary_29,right_time_boundary_29,lambda_29,left_time_boundary_30,right_time_boundary_30,lambda_30,left_time_boundary_31,right_time_boundary_31,lambda_31
Amblyraja_radiata,Cartilaginous fishes,VU,no likely,0.0,7.13522e-05,114.967,7.13522e-05,0.000154816,114.967,0.000154816,0.000252449,442.512,0.000252449,0.000366654,421.696,0.000366654,0.000500246,359.856,0.000500246,0.000656515,285.524,0.000656515,0.00083931,218.182,0.00083931,0.00105314,173.168,0.00105314,0.00130326,150.062,0.00130326,0.00159584,143.152,0.00159584,0.00193808,148.13,0.00193808,0.00233842,162.642,0.00233842,0.00280672,185.301,0.00280672,0.00335452,214.701,0.00335452,0.0039953,248.228,0.0039953,0.00474485,280.969,0.00474485,0.00562164,305.596,0.00562164,0.00664727,314.953,0.00664727,0.00784699,306.124,0.00784699,0.00925037,281.612,0.00925037,0.010892,246.647,0.010892,0.0128122,206.628,0.0128122,0.0150585,166.295,0.0150585,0.017686,128.482,0.017686,0.0207595,95.1372,0.0207595,0.0243548,68.5184,0.0243548,0.0285604,50.6968,0.0285604,0.0334799,49.688,0.0334799,0.0392345,49.688,0.0392345,0.0459659,11.6363,0.0459659,0.0538399,11.6363,0.0538399,inf,11.6363
Amia_calva,Ray-finned fishes,LC,no,0.0,1.62729e-05,4475.73,1.62729e-05,3.53081e-05,4475.73,3.53081e-05,5.75745e-05,6883.8,5.75745e-05,8.36206e-05,5619.78,8.36206e-05,0.000114088,5841.96,0.000114088,0.000149727,4552.43,0.000149727,0.000191417,2942.06,0.000191417,0.000240182,1924.58,0.000240182,0.000297226,1335.07,0.000297226,0.000363953,1016.19,0.000363953,0.000442007,883.354,0.000442007,0.000533311,883.975,0.000533311,0.000640113,940.043,0.000640113,0.000765045,998.25,0.000765045,0.000911184,1045.74,0.000911184,0.00108213,1078.7,0.00108213,0.00128209,1081.59,0.00128209,0.001516,1036.37,0.001516,0.00178962,951.248,0.00178962,0.00210968,785.688,0.00210968,0.00248407,489.055,0.00248407,0.00292201,218.298,0.00292201,0.0034343,87.6085,0.0034343,0.00403354,39.7948,0.00403354,0.00473451,21.4476,0.00473451,0.00555446,14.4747,0.00555446,0.0065136,16.2257,0.0065136,0.00763556,187.479,0.00763556,0.00894797,187.479,0.00894797,0.0104832,23.5738,0.0104832,0.0122789,23.5738,0.0122789,inf,23.5738
Ammodytes_marinus,Ray-finned fishes,DD/NE,no,0.0,4.30075e-05,609.019,4.30075e-05,9.33156e-05,609.019,9.33156e-05,0.000152163,430.218,0.000152163,0.000221001,396.437,0.000221001,0.000301523,470.043,0.000301523,0.000395714,414.413,0.000395714,0.000505894,346.103,0.000505894,0.000634777,323.432,0.000634777,0.000785538,325.583,0.000785538,0.00096189,348.365,0.00096189,0.00116818,373.993,0.00116818,0.00140948,387.922,0.00140948,0.00169175,389.754,0.00169175,0.00202193,382.918,0.00202193,0.00240817,373.806,0.00240817,0.00285996,367.262,0.00285996,0.00338844,361.914,0.00338844,0.00400664,352.151,0.00400664,0.00472977,334.473,0.00472977,0.00557566,309.869,0.00557566,0.00656514,278.86,0.00656514,0.00772257,240.331,0.00772257,0.00907649,196.494,0.00907649,0.0106602,153.69,0.0106602,0.0125128,116.386,0.0125128,0.0146799,86.445,0.0146799,0.0172148,66.0267,0.0172148,0.02018,62.9351,0.02018,0.0236486,62.9351,0.0236486,0.0277059,8.03851,0.0277059,0.032452,8.03851,0.032452,inf,8.03851
Ammospiza_caudacuta,,,,0.0,1.89288e-05,269.243,1.89288e-05,4.10707e-05,269.243,4.10707e-05,6.69712e-05,2131.22,6.69712e-05,9.72684e-05,2200.27,9.72684e-05,0.000132708,2079.35,0.000132708,0.000174164,2056.8,0.000174164,0.000222658,2112.93,0.000222658,0.000279383,2199.49,0.000279383,0.000345737,2249.65,0.000345737,0.000423354,2224.75,0.000423354,0.000514147,2096.51,0.000514147,0.000620352,1908.74,0.000620352,0.000744586,1737.21,0.000744586,0.000889908,1604.52,0.000889908,0.0010599,1490.46,0.0010599,0.00125875,1328.44,0.00125875,0.00149135,1078.53,0.00149135,0.00176343,765.872,0.00176343,0.0020817,463.807,0.0020817,0.002454,252.268,0.002454,0.00288949,134.941,0.00288949,0.00339891,76.3778,0.00339891,0.00399481,45.2883,0.00399481,0.00469186,26.0998,0.00469186,0.00550723,15.6176,0.00550723,0.00646101,12.6612,0.00646101,0.00757669,18.0859,0.00757669,0.00888176,220.367,0.00888176,0.0104084,220.367,0.0104084,0.0121941,20.9886,0.0121941,0.014283,20.9886,0.014283,inf,20.9886
Ammospiza_maritima,Birds,LC,no,0.0,2.09889e-05,1099.61,2.09889e-05,4.55406e-05,1099.61,4.55406e-05,7.42601e-05,3085.42,7.42601e-05,0.000107855,1492.97,0.000107855,0.000147152,925.461,0.000147152,0.00019312,737.571,0.00019312,0.000246891,662.128,0.000246891,0.000309789,646.454,0.000309789,0.000383365,696.737,0.000383365,0.00046943,790.759,0.00046943,0.000570104,928.729,0.000570104,0.000687868,1099.8,0.000687868,0.000825623,1275.08,0.000825623,0.000986761,1414.08,0.000986761,0.00117525,1481.62,0.00117525,0.00139574,1457.05,0.00139574,0.00165366,1326.66,0.00165366,0.00195535,1103.59,0.00195535,0.00230826,840.834,0.00230826,0.00272108,609.15,0.00272108,0.00320397,444.288,0.00320397,0.00376884,332.34,0.00376884,0.00442958,240.222,0.00442958,0.00520249,152.885,0.00520249,0.00610661,85.3262,0.00610661,0.00716419,51.2246,0.00716419,0.0084013,45.6557,0.0084013,0.00984841,247.016,0.00984841,0.0115412,247.016,0.0115412,0.0135213,14.9559,0.0135213,0.0158375,14.9559,0.0158375,inf,14.9559
Ammospiza_nelsoni,Birds,LC,no,0.0,1.91874e-05,2523.83,1.91874e-05,4.16319e-05,2523.83,4.16319e-05,6.78863e-05,3318.97,6.78863e-05,9.85974e-05,1662.56,9.85974e-05,0.000134522,1125.41,0.000134522,0.000176544,875.855,0.000176544,0.0002257,794.975,0.0002257,0.0002832,828.717,0.0002832,0.00035046,955.103,0.00035046,0.000429138,1152.8,0.000429138,0.000521172,1379.96,0.000521172,0.000628828,1569.1,0.000628828,0.000754759,1658.27,0.000754759,0.000902067,1642.39,0.000902067,0.00107438,1560.93,0.00107438,0.00127594,1432.88,0.00127594,0.00151172,1271.47,0.00151172,0.00178752,1098.55,0.00178752,0.00211014,896.244,0.00211014,0.00248753,656.448,0.00248753,0.00292897,419.293,0.00292897,0.00344535,231.685,0.00344535,0.00404939,115.11,0.00404939,0.00475596,56.5081,0.00475596,0.00558247,30.1889,0.00558247,0.00654928,20.4504,0.00654928,0.00768021,23.4721,0.00768021,0.00900312,244.816,0.00900312,0.0105506,244.816,0.0105506,0.0123607,20.085,0.0123607,0.0144781,20.085,0.0144781,inf,20.085
Anabas_testudineus,Ray-finned fishes,DD/NE,no,0.0,1.95952e-05,416.75,1.95952e-05,4.25168e-05,416.75,4.25168e-05,6.93292e-05,1324.44,6.93292e-05,0.000100693,1830.33,0.000100693,0.000137381,1879.22,0.000137381,0.000180297,1668.51,0.000180297,0.000230497,1423.65,0.000230497,0.000289219,1212.1,0.000289219,0.00035791,1048.2,0.00035791,0.00043826,927.645,0.00043826,0.00053225,840.091,0.00053225,0.000642194,778.271,0.000642194,0.000770802,737.599,0.000770802,0.000921241,713.246,0.000921241,0.00109722,699.054,0.00109722,0.00130306,689.305,0.00130306,0.00154385,681.09,0.00154385,0.00182552,672.555,0.00182552,0.002155,660.611,0.002155,0.0025404,641.534,0.0025404,0.00299123,612.088,0.00299123,0.00351859,568.846,0.00351859,0.00413546,510.831,0.00413546,0.00485705,440.903,0.00485705,0.00570113,364.491,0.00570113,0.00668849,290.239,0.00668849,0.00784346,231.352,0.00784346,0.00919448,236.234,0.00919448,0.0107748,236.234,0.0107748,0.0126235,8.94912,0.0126235,0.0147859,8.94912,0.0147859,inf,8.94912
Anableps_anableps,Ray-finned fishes,LC,yes,0.0,7.98551e-06,387.506,7.98551e-06,1.73266e-05,387.506,1.73266e-05,2.82533e-05,2423.85,2.82533e-05,4.10347e-05,3723.97,4.10347e-05,5.59859e-05,3965.13,5.59859e-05,7.3475e-05,3657.72,7.3475e-05,9.39329e-05,3232.32,9.39329e-05,0.000117864,2823.18,0.000117864,0.000145856,2512.68,0.000145856,0.000178601,2361.81,0.000178601,0.000216904,2360.08,0.000216904,0.000261709,2442.99,0.000261709,0.00031412,2524.29,0.00031412,0.000375427,2519.52,0.000375427,0.000447141,2393.77,0.000447141,0.000531029,2170.34,0.000531029,0.000629156,1894.81,0.000629156,0.000743941,1613.15,0.000743941,0.00087821,1355.06,0.00087821,0.00103527,1128.63,0.00103527,0.00121899,932.427,0.00121899,0.0014339,763.558,0.0014339,0.0016853,617.688,0.0016853,0.00197936,491.018,0.00197936,0.00232334,382.847,0.00232334,0.00272571,295.939,0.00272571,0.00319639,234.701,0.00319639,0.00374696,216.479,0.00374696,0.00439099,216.479,0.00439099,0.00514435,8.1756,0.00514435,0.00602559,8.1756,0.00602559,inf,8.1756
Anas_acuta,Birds,LC,no,0.0,8.05099e-05,90.0349,8.05099e-05,0.000174686,90.0349,0.000174686,0.000284849,82.1336,0.000284849,0.000413712,108.343,0.000413712,0.00056445,122.259,0.00056445,0.000740775,129.932,0.000740775,0.000947032,144.487,0.000947032,0.0011883,172.568,0.0011883,0.00147052,211.119,0.00147052,0.00180066,251.38,0.00180066,0.00218683,279.018,0.00218683,0.00263855,282.481,0.00263855,0.00316695,263.538,0.00316695,0.00378505,234.854,0.00378505,0.00450808,207.902,0.00450808,0.00535383,187.389,0.00535383,0.00634315,173.309,0.00634315,0.00750041,164.47,0.00750041,0.00885412,159.795,0.00885412,0.0104376,158.07,0.0104376,0.0122899,157.721,0.0122899,0.0144566,156.466,0.0144566,0.0169912,151.708,0.0169912,0.0199559,141.192,0.0199559,0.0234239,123.465,0.0234239,0.0274807,99.1528,0.0274807,0.032226,71.6471,0.032226,0.0377769,42.0568,0.0377769,0.04427,42.0568,0.04427,0.0518653,18.6895,0.0518653,0.06075,18.6895,0.06075,inf,18.6895
Anas_platyrhynchos,Birds,LC,no,0.0,6.08373e-05,476.982,6.08373e-05,0.000132002,476.982,0.000132002,0.000215246,77.5132,0.000215246,0.000312621,116.49,0.000312621,0.000426526,160.419,0.000426526,0.000559766,218.559,0.000559766,0.000715624,291.226,0.000715624,0.000897938,366.691,0.000897938,0.0011112,420.501,0.0011112,0.00136066,430.361,0.00136066,0.00165247,402.826,0.00165247,0.00199382,358.563,0.00199382,0.00239311,313.913,0.00239311,0.00286017,275.893,0.00286017,0.00340652,245.911,0.00340652,0.00404562,222.972,0.00404562,0.0047932,205.139,0.0047932,0.00566768,190.866,0.00566768,0.00669061,179.619,0.00669061,0.00788718,171.277,0.00788718,0.00928686,165.552,0.00928686,0.0109241,161.562,0.0109241,0.0128394,157.505,0.0128394,0.0150797,151.179,0.0150797,0.0177003,140.545,0.0177003,0.0207657,123.4,0.0207657,0.0243516,99.5309,0.0243516,0.0285461,75.2498,0.0285461,0.0334526,75.2498,0.0334526,0.039192,14.3306,0.039192,0.0459057,14.3306,0.0459057,inf,14.3306
