"","IUCN","Generations","median_Ne","lq_Ne","uq_Ne"
"1","CR",214.9048,29253.0240313592,8053.77071208348,151701.437123711
"2","CR",227.010201896001,29253.0240313592,8053.77071208348,151701.437123711
"3","CR",239.797490632425,29253.0240313592,8053.77071208348,151701.437123711
"4","CR",253.305076306444,29253.0240313592,8053.77071208348,151701.437123711
"5","CR",267.573532622853,29253.0240313592,8053.77071208348,151701.437123711
"6","CR",282.645718768218,29253.0240313592,8053.77071208348,151701.437123711
"7","CR",298.56690815009,29253.0240313592,8053.77071208348,151701.437123711
"8","CR",315.384924387993,29253.0240313592,8053.77071208348,151701.437123711
"9","CR",333.15028496466,29253.0240313592,8053.77071208348,151701.437123711
"10","CR",351.916352969025,29253.0240313592,8053.77071208348,151701.437123711
"11","CR",371.739497386762,29253.0240313592,8053.77071208348,151701.437123711
"12","CR",392.679262419857,29253.0240313592,8053.77071208348,151701.437123711
"13","CR",414.798546343797,29253.0240313592,8053.77071208348,151701.437123711
"14","CR",438.163790439641,29253.0240313592,8053.77071208348,151701.437123711
"15","CR",462.845178568463,29253.0240313592,8053.77071208348,151701.437123711
"16","CR",488.916847987656,29253.0240313592,8053.77071208348,151701.437123711
"17","CR",516.457112042328,29253.0240313592,8053.77071208348,151701.437123711
"18","CR",545.548695400728,29253.0240313592,8053.77071208348,151701.437123711
"19","CR",576.278982540265,29253.0240313592,8053.77071208348,151701.437123711
"20","CR",608.740280230538,29253.0240313592,8053.77071208348,151701.437123711
"21","CR",643.030094801803,29253.0240313592,8053.77071208348,151701.437123711
"22","CR",679.251425031744,29253.0240313592,8053.77071208348,151701.437123711
"23","CR",717.513071530289,29253.0240313592,8053.77071208348,151701.437123711
"24","CR",757.929963551818,29253.0240313592,8053.77071208348,151701.437123711
"25","CR",800.62350421641,29253.0240313592,8053.77071208348,151701.437123711
"26","CR",845.721935177116,29253.0240313592,8053.77071208348,151701.437123711
"27","CR",893.360721828612,29253.0240313592,8053.77071208348,151701.437123711
"28","CR",943.682960214339,29253.0240313592,8053.77071208348,118208.470913078
"29","CR",996.839806854351,29253.0240313592,8053.77071208348,118208.470913078
"30","CR",1052.99093278501,29253.0240313592,8053.77071208348,118208.470913078
"31","CR",1112.30500317435,27970.1779541569,7976.85353372212,118208.470913078
"32","CR",1174.96018395374,24319.9686492402,7395.06728751754,117522.667837612
"33","CR",1241.14467698768,20464.1462047354,6780.5095242139,114654.593244685
"34","CR",1311.05728538925,16391.1286099579,6131.33425253866,111624.962485423
"35","CR",1384.90801067932,14170.0763412863,5445.5914981242,108424.675240417
"36","CR",1462.91868358315,14170.0763412863,4783.32953393205,105746.321776433
"37","CR",1545.32363035932,14170.0763412863,4780.97631761766,105746.321776433
"38","CR",1632.37037666227,14170.0763412863,4778.03961459782,105746.321776433
"39","CR",1724.32039105294,14170.0763412863,4774.9374896316,105746.321776433
"40","CR",1821.4498703906,14170.0763412863,4771.66062464352,105746.321776433
"41","CR",1924.05056946525,14170.0763412863,4954.81136247016,105746.321776433
"42","CR",2032.43067736236,13670.3325214215,5159.4770662483,105746.321776433
"43","CR",2146.91574319259,11127.8647296763,5172.00798880008,105746.321776433
"44","CR",2267.84965396702,11127.8647296763,5072.18890466449,105746.321776433
"45","CR",2395.59566755526,11127.8647296763,4966.74709767509,105746.321776433
"46","CR",2530.53750382916,11127.8647296763,4855.3658447066,105746.321776433
"47","CR",2673.08049726976,11127.8647296763,4791.63646033919,105746.321776433
"48","CR",2823.65281449959,11127.8647296763,5227.34851121256,105746.321776433
"49","CR",2982.70674039744,11127.8647296763,5687.60384584111,105746.321776433
"50","CR",3150.72003665896,11127.8647296763,6173.78496621506,105746.321776433
"51","CR",3328.19737688375,11095.6165663517,6525.05286110409,105746.321776433
"52","CR",3515.67186249967,10771.7169810927,6992.78470229294,105746.321776433
"53","CR",3713.70662407791,11582.4027307046,7787.18699567783,105746.321776433
"54","CR",3922.89651284868,12905.3920658235,8679.19643356655,105746.321776433
"55","CR",4143.86988749854,13786.0859900852,9272.38041604604,105746.321776433
"56","CR",4377.29050161654,14110.2649968928,9283.16786747398,105274.337150771
"57","CR",4623.8594974585,14452.7047273494,9009.43479965055,101284.253707365
"58","CR",4884.31751201832,15658.5040715769,8711.96263050237,97069.4123075008
"59","CR",5159.44690173255,17275.2733265826,8397.73411081938,92617.1525294837
"60","CR",5450.0740925005,18788.2772485277,8065.80536983865,88277.3928241606
"61","CR",5757.07206207913,20386.5073754964,7715.17936937183,88313.2496650886
"62","CR",6081.36296230893,22074.7644260577,8052.20595202035,88351.1262909175
"63","CR",6423.92088904767,23858.1195391135,8941.47383748773,88391.1364743873
"64","CR",6785.77480813202,25240.7527520915,8915.03067101469,88433.4003969586
"65","CR",7168.0116461561,26063.1951879768,8885.90841875754,92798.1540024457
"66","CR",7571.77955535094,26931.9650964113,8916.68095778372,95099.6874999331
"67","CR",7998.29136237175,27849.6720639379,9042.79858888143,91237.6285069189
"68","CR",8448.82821135242,29565.5640922791,9176.02031728458,87364.1457115418
"69","CR",8924.74341217014,33965.8727166414,9325.97104716693,83272.4729735701
"70","CR",9427.4665054794,34459.5023101316,9747.46704118894,78950.319841861
"71","CR",9958.50755672587,33563.976061436,10413.9784080957,74384.703554767
"72","CR",10519.4616920385,32618.0055920954,10381.6393059256,75069.3783586309
"73","CR",11112.0138896242,31618.7494227001,10347.4785700426,80565.6893649188
"74","CR",11737.9440410579,30744.4659165821,10311.393589392,86371.602826231
"75","CR",12399.132297671,30852.2495487158,10271.3098920714,91087.3789629613
"76","CR",13097.5647180962,30966.1045398177,10536.3643152118,95337.2993111067
"77","CR",13835.339233935,31031.7355166549,10831.3650140922,91972.2163320266
"78","CR",14614.6719514652,31035.9043970686,11144.2183194662,91540.0750880871
"79","CR",15437.9038083186,31040.3081069178,11381.1015399037,91083.5917008649
"80","CR",16307.507605123,32390.746131004,11576.8888189451,90601.3949984391
"81","CR",17226.0954332316,35716.7322685077,11763.3034508451,88655.9072239932
"82","CR",18196.4265208487,37273.2538368985,11950.398040802,86417.3836142177
"83","CR",19221.415521122,38917.4529217766,12038.7581504302,86090.2056466077
"84","CR",20304.1412670951,40654.2683219695,12085.4983653848,85744.5980264751
"85","CR",21447.8560198199,38988.9694500478,12460.3412626531,85379.5226274002
"86","CR",22655.9952374059,37070.8892162786,12931.7557289819,84845.4557323436
"87","CR",23932.1878943529,35490.5546728964,13445.8047213529,83380.2150014338
"88","CR",25280.2673821622,33821.2012486992,14644.5027675547,81548.401234181
"89","CR",26704.2830239694,32057.8145869643,16328.8499255475,79613.4029784885
"90","CR",28208.5122377873,31015.5337460709,18199.2159630187,77569.4079411829
"91","CR",29797.4733848938,31572.7994637139,20362.2865026735,76319.6356803239
"92","CR",31475.9393419572,32161.4554782463,22646.1407342311,76448.1715365792
"93","CR",33248.9518376694,31974.6027882132,24988.7033187818,77598.3031810668
"94","CR",35121.8365969478,34169.6210142169,26914.0105124424,78813.2207483903
"95","CR",37100.2193381975,37116.1584751684,27660.5453865295,79995.5830850111
"96","CR",39190.0426716859,40228.6718480887,28074.9868673605,80787.6075923047
"97","CR",41397.5839497876,43516.5104128422,27387.656271575,81447.9506573655
"98","CR",43729.4741227182,46953.2916029744,26894.7097669233,82145.4902773279
"99","CR",46192.7176563958,50553.6274884025,27130.842416208,82909.2324677045
"100","CR",48794.713572258,54356.7671867454,27902.4465699519,83422.5563521577
"101","CR",51543.2776722336,58374.1344617412,28730.970350218,83925.064149324
"102","CR",54446.6660156282,59853.582433052,29569.3069990231,87950.0618953331
"103","CR",57513.5997184423,61236.2597261863,30393.2079484412,90490.7874038047
"104","CR",60753.291149613,62696.8220378305,31278.7705279647,93164.2729121633
"105","CR",64175.4716028687,63074.9622772863,32206.2523061495,95478.3331767393
"106","CR",67790.4205273139,62068.6324076513,33136.0459581909,97720.5724441933
"107","CR",71608.9964045491,60934.8009159719,34168.413325452,98282.7910116669
"108","CR",75642.669365071,58992.1475629736,36323.9273290798,103152.581866319
"109","CR",79903.5556419271,58572.8400577085,38960.2477832728,108963.199170074
"110","CR",84404.4539651147,57199.1896084491,41817.5494648763,115101.123531306
"111","CR",89158.8840060456,55748.1626150041,44831.6065946193,121168.034191247
"112","CR",94181.1269875522,55077.8763545616,48560.3746923973,119955.666530018
"113","CR",99486.2685814236,56485.0772815055,51197.2783035664,117232.063917132
"114","CR",105090.24422232,66904.7527293076,51813.5194143138,115497.467948827
"115","CR",111009.88697418,67572.6762644679,53312.0924339557,113225.59654053
