,accession,Gardiner_captivity_flag,Gardiner_domestication_flag,Gardiner_flag_notes,Sudmant_zoo_flag,Combined_captivity_flag,Animal,Assembly,Band,Bird,CBP,Cells,Collection,Columbia,Common,Culture,ENA,ENA.CHECKLIST,ENA.FIRST.PUBLIC,ENA.LAST.UPDATE,External,Father,Field,Funding,GAL,GAL_sample_id,GN,Genome,INSDC,ISIS,Identified,Individual,Loan,Local,Marine,Material,McGill,Mobilization,Moreton,Mother,Necropsy,Note,Oregon,Panamanian,Permit,Permits,Previous,Report,Sample,Scientific,Sex,Smithsonian,Source,Species360,Stanford,State,Studbook,Subject,Submission,Submitter,ToLID,Tube,Turtle,UF,UQ,USNM,Vassar,Weight,Wieght,age,altitude,barcoding,bio.material,biomaterial,biomaterial_provider,bioproject_accession2,birth_date,birth_location,breed,breed_note,breeding_history,breeding_method,broker,cell_line,cell_type,collected,collected.by,collected_by,collecting,collection,collection.date,collection_date,common,country,cultivar,culture_or_strain_id,date,death_date,depth,derived.from,dev_stage,developmental_age,ecotype,elevation,env_broad_scale,env_local_scale,env_medium,estimated_size,family,funding,geo_loc_name,geographic,growth_protocol,habitat,health_state,identified,identified_by,identifier_affiliation,isol_growth_condt,isolate,isolate_name_alias,isolation.source,isolation_source,label,lat.lon,lat_lon,latitude,lifestage,material,note,order,organism,orgmod_note,original,permit,permits,phenotype,project,provider,proxy,ref_biomaterial,relationship,sample,sample_type,scientific_name,sex,specimen,specimen_id,specimen_voucher,storage,store_cond,strain,sub,sub_species,subject,subject_id,submission,symbiont,tissue,tolid,treatment,voucher,yggdrasil,yggdrasil_individual_id
35,GCA_009819825.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""7 years""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,"Attribute ""29-Sep-2001""","Attribute ""Holland""",,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2008-06-29""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bCarCri1""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""leg band: green/295952""",,,,"Attribute ""blood""",,,,,
46,GCA_013347915.1,yes,no,lat_lon,not assessed,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""University of Konstanz""",,"Attribute ""unknown""",,,,,,,,,,,"Attribute ""Nidal Karagic""",,,,"Attribute ""2018-11-29""",,,,,,,,,"Attribute ""juvenile""",,,,,,,,,,"Attribute ""Netherlands: Dejong Marinelife, Rotterdam""",,,,,,,,,"Attribute ""fEleEle1""",,,,,,"Attribute ""51.9244201 N 4.4777325 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""unknown""",,,,,"Attribute ""frozen""",,,,,,,,"Attribute ""liver""",,"Attribute ""liquid nitrogen""",,,
52,GCA_014839685.1,yes,no,geo_loc_name,NA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""University of Konstanz""",,"Attribute ""unknown""",,,,,,,,,,,"Attribute ""Andreas Kaut""",,,,"Attribute ""2017-07-11""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Germany: Wilhelma Zoo, Stuttgart""",,,,,,,,,"Attribute ""fAnaAna1""",,,,,,"Attribute ""48.7758459 N 9.1829321 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""frozen""",,,,,,,,"Attribute ""liver, spleen""",,"Attribute ""liquid nitrogen""",,,
53,GCA_014839705.1,yes,no,geo_loc_name,NA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""University of Konstanz""",,"Attribute ""unknown""",,,,,,,,,,,"Attribute ""Andreas Kaut""",,,,"Attribute ""2017-07-11""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Germany: Wilhelma Zoo, Stuttgart""",,,,,,,,,"Attribute ""fAnaAna1""",,,,,,"Attribute ""48.7758459 N 9.1829321 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""frozen""",,,,,,,,"Attribute ""liver, spleen""",,"Attribute ""liquid nitrogen""",,,
58,GCA_015220065.1,yes,no,geo_loc_name,NA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""University of Konstanz""",,"Attribute ""unknown""",,,,,,,,,,,"Attribute ""Nidal Karagic""",,,,"Attribute ""2018-11-21""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Netherlands: Dejong Marinelife, Rotterdam""",,,,,,,,,"Attribute ""fPygNat1""",,,,,,"Attribute ""51.9244201 N 4.4777325 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""frozen""",,,,,,,,"Attribute ""liver""",,"Attribute ""liquid nitrogen""",,,
60,GCA_015220155.1,yes,no likely,lat_lon,NA,yes,,,,,,,,,,,,,,,,,,,,,,"coordinator	Attribute ""Qasim Ayub""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Farooq Al-Ajli, Qatar Falcon Genome Project, Al-Gannas Qatari Society""",,"Attribute ""unknown""",,,,,,,,,,,"Attribute ""Farooq Al-Ajli, Souq Waqif Falcon Hospital""",,,,"Attribute ""2019-04-11""",,,,,,,,,"Attribute ""juvenile""",,,,,,,,,,"Attribute ""Qatar""",,,,,,,,,"Attribute ""bFalRus1""",,,,,,"Attribute ""25.5 N 51.25 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""SP19""",,,,"Attribute ""blood""",,"Attribute ""ethanol""",,,
65,GCA_015244455.1,yes,yes,geo_loc_name,NA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""juvenile""",,,,"Attribute ""RGD 61498""","Attribute ""Melinda Dwinell, Medical College of Wisconsin, USA""",,,,,,"Attribute ""Same BN/NHsdMcwi colony as original Eve came from 18 years ago""",,,,,,,"Attribute ""Rebecca Schilling""",,,,"Attribute ""2019-03-08""",,,,,,,,,,,,,,,,,,,"Attribute ""USA: Wisconsin, Milwaukee, Medical College of Wisconsin""",,,,"Attribute ""healthy""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,,"Attribute ""BN/NHsdMcwi""",,,,,,,"Attribute ""kidney""",,,,,
82,GCA_019677235.1,yes,no,Associated publication (https://pmc.ncbi.nlm.nih.gov/articles/PMC12001621/#Sec2),NA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""2019-07-05""",,,,,,,,,"Attribute ""missing""",,,,,,,,,,,,,,,,,,,"Attribute ""2-A1""",,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""not collected""",,,,,,,,,,,,,"Attribute ""blood""",,,,,
86,GCA_020740595.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""9 months""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,"Attribute ""11-Mar-2015""","Attribute ""Copenhagen Zoo""",,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2015-12-16""",,,,,,,,,"Attribute ""juvenile""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""mLemCat1""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""900979""",,,,"Attribute ""spleen""",,"Attribute ""frozen""",,,
114,GCA_026652325.1,yes,yes likely,Associated publication (https://www.cell.com/cell-genomics/fulltext/S2666-979X(25)00017-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2666979X25000175%3Fshowall%3Dtrue#sec-8),NA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Andras Simon - KI, Uppsala, Sweden""",,,,,,,,,,,,,"Attribute ""Adult""",,,,,,,,,,,,,,,,,,,"Attribute ""20211129_DDA""",,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,,,,,,,,,"Attribute ""Liver""",,,,,
