,accession,Gardiner_captivity_flag,Gardiner_domestication_flag,Gardiner_flag_notes,Sudmant_zoo_flag,Combined_captivity_flag,Animal,Assembly,Band,Bird,CBP,Cells,Collection,Columbia,Common,Culture,ENA,ENA.CHECKLIST,ENA.FIRST.PUBLIC,ENA.LAST.UPDATE,External,Father,Field,Funding,GAL,GAL_sample_id,GN,Genome,INSDC,ISIS,Identified,Individual,Loan,Local,Marine,Material,McGill,Mobilization,Moreton,Mother,Necropsy,Note,Oregon,Panamanian,Permit,Permits,Previous,Report,Sample,Scientific,Sex,Smithsonian,Source,Species360,Stanford,State,Studbook,Subject,Submission,Submitter,ToLID,Tube,Turtle,UF,UQ,USNM,Vassar,Weight,Wieght,age,altitude,barcoding,bio.material,biomaterial,biomaterial_provider,bioproject_accession2,birth_date,birth_location,breed,breed_note,breeding_history,breeding_method,broker,cell_line,cell_type,collected,collected.by,collected_by,collecting,collection,collection.date,collection_date,common,country,cultivar,culture_or_strain_id,date,death_date,depth,derived.from,dev_stage,developmental_age,ecotype,elevation,env_broad_scale,env_local_scale,env_medium,estimated_size,family,funding,geo_loc_name,geographic,growth_protocol,habitat,health_state,identified,identified_by,identifier_affiliation,isol_growth_condt,isolate,isolate_name_alias,isolation.source,isolation_source,label,lat.lon,lat_lon,latitude,lifestage,material,note,order,organism,orgmod_note,original,permit,permits,phenotype,project,provider,proxy,ref_biomaterial,relationship,sample,sample_type,scientific_name,sex,specimen,specimen_id,specimen_voucher,storage,store_cond,strain,sub,sub_species,subject,subject_id,submission,symbiont,tissue,tolid,treatment,voucher,yggdrasil,yggdrasil_individual_id
72,GCA_017639555.1,,,,no,no,,,,,,,,,,,,,,,,,"#	Attribute ""ARG 92 179""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""3950 g""",,,,,,,"Attribute ""Smithsonian""",,,"Attribute ""Argentina""",,,,,,,,,,"Attribute ""J.P. Angie, Luis Chiappe, Storrs L. Olsonn""",,,,"Attribute ""1992-02-18""",,,,,,"Attribute ""18-02-1992""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Argentina: Estancia El Tala, near Puerto Constanza""",,,,,,,,,"Attribute ""bCicMag1""",,,,,,"Attribute ""33.2599 S 64.8519 W""",,,,,,,,,,,,,,,,,,"Attribute ""Tissue #: B02773""",,"Attribute ""female""",,,"Attribute ""USNM:614528""",,"Attribute ""Frozen""",,,,,,,,"Attribute ""unknown""",,,,,
73,GCA_017639665.1,,,,no,no,,,,,,,,,,,,,,,,,"#	Attribute ""ARG 92 179""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""3950 g""",,,,,,,"Attribute ""Smithsonian""",,,"Attribute ""Argentina""",,,,,,,,,,"Attribute ""J.P. Angie, Luis Chiappe, Storrs L. Olsonn""",,,,"Attribute ""1992-02-18""",,,,,,"Attribute ""18-02-1992""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Argentina: Estancia El Tala, near Puerto Constanza""",,,,,,,,,"Attribute ""bCicMag1""",,,,,,"Attribute ""33.2599 S 64.8519 W""",,,,,,,,,,,,,,,,,,"Attribute ""Tissue #: B02773""",,"Attribute ""female""",,,"Attribute ""USNM:614528""",,"Attribute ""Frozen""",,,,,,,,"Attribute ""unknown""",,,,,
74,GCA_017639675.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""SUBPESCA, R. EX. N 1061, Chile.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Universidad Austral de Chile""",,"Attribute ""unknown""",,,"Attribute ""Barcode haplotype B""",,,,,,,,"Attribute ""Cristian Correa Guzman""",,,,"Attribute ""2018-09-11""",,,,,,,,,"Attribute ""subadult""",,,,,,,,,,"Attribute ""Chile: Santo Domingo River, Valdivia, Los Rios district""",,,,,,,,,"Attribute ""fAplTae1""",,,,,,"Attribute ""39.917592 S 73.107197 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""unknown""",,,"Attribute ""6995""",,"Attribute ""frozen""",,,,,,,,"Attribute ""liver""",,"Attribute ""liquid nitrogen""",,,
75,GCA_017639685.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""SUBPESCA, R. EX. N 1061, Chile.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Universidad Austral de Chile""",,"Attribute ""unknown""",,,"Attribute ""Barcode haplotype B""",,,,,,,,"Attribute ""Cristian Correa Guzman""",,,,"Attribute ""2018-09-11""",,,,,,,,,"Attribute ""subadult""",,,,,,,,,,"Attribute ""Chile: Santo Domingo River, Valdivia, Los Rios district""",,,,,,,,,"Attribute ""fAplTae1""",,,,,,"Attribute ""39.917592 S 73.107197 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""unknown""",,,"Attribute ""6995""",,"Attribute ""frozen""",,,,,,,,"Attribute ""liver""",,"Attribute ""liquid nitrogen""",,,
78,GCA_017976305.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,"coordinator	Attribute ""Jochen Wolf""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Institute of Vertebrate Biology, Czech Academy of Sciences, Brno, Czech Republic""",,"Attribute ""14-June-2016""",,,,,,,,,,,"Attribute ""Michal Sulc""",,,,"Attribute ""2018-05-08""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Czech Republic: Hodonin""",,,,,,,,,"Attribute ""bCucCan1""",,,,,,"Attribute ""48.8557750 N 17.0677347 E""",,,,,,,,,"#	Attribute ""MUHOCJ, 14306/2016/OZP""",,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""GA19462""",,,,"Attribute ""blood""",,"Attribute ""ethanol""",,,
79,GCA_017976315.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Institute of Molecular and Cell Biology""",,"Attribute ""unknown""",,,,,,,,,,,"Attribute ""Byrappa Venkatesh""",,,,"Attribute ""2018-06-20""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Singapore""",,,,,,,,,"Attribute ""fCheRos1""",,,,,,"Attribute ""1.3521 N 103.8198 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""unknown""",,,,,"Attribute ""frozen""",,,,,,,,"Attribute ""liver""",,"Attribute ""liquid nitrogen""",,,
80,GCA_018492705.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Nina Overgaard Therkildsen""",,,,,,,,,,,,,"Attribute ""Reid Hyle""",,,,"Attribute ""2020-02-07""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""USA: St. Johns River, Florida""",,,,,,,,,"Attribute ""fAloSap1""",,,,,,"Attribute ""28.438892 N 81.894728 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,"Attribute ""AsapiF_1""",,"Attribute ""frozen -80oC""",,,,,,,,"Attribute ""muscle""",,"Attribute ""flash frozen""",,,
81,GCA_019395325.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Universidad Austral de Chile""",,,,,,,,,,,,,"Attribute ""Roberto Nespolo, Julian Quintero""",,,,"Attribute ""2014-02-10""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Chile: San Martin, comuna de Valdivia, Region de los Rios""",,,,,,,,,"Attribute ""mDroGli1""",,,,,,"Attribute ""39.647794 S 73.196942 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,,,,,"Attribute ""kidney, liver""",,"Attribute ""flash frozen""",,,
83,GCA_020382915.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Institue of Molecular and Cell Biology""",,"Attribute ""unknown""",,,,,,,,,,,"Attribute ""Byrappa Venkatesh""",,,,"Attribute ""2018-08-06""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Singapore""",,,,,,,,,"Attribute ""fScaArg1""",,,,,,"Attribute ""1.3521 N 103.8198 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""unknown""",,,,,"Attribute ""frozen""",,,,,,,,"Attribute ""muscle""",,"Attribute ""liquid nitrogen""",,,
87,GCA_020745675.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Dalhousie University""",,,,,,,,,,,,,"Attribute ""Tony Einfeldt""",,,,"Attribute ""2019-08-12""",,,,,,"Attribute ""2019-08-12""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Canada: Alderney Landing, Halifax""",,,,,,,,,"Attribute ""fTauAds1""",,,,,,"Attribute ""44.66 N 63.57 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""-80oC""",,,,,,,,"Attribute ""muscle""",,,,,
88,GCA_020745685.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Dalhousie University""",,,,,,,,,,,,,"Attribute ""Tony Einfeldt""",,,,"Attribute ""2019-08-12""",,,,,,"Attribute ""2019-08-12""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Canada: Alderney Landing, Halifax""",,,,,,,,,"Attribute ""fTauAds1""",,,,,,"Attribute ""44.66 N 63.57 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""-80oC""",,,,,,,,"Attribute ""muscle""",,,,,
89,GCA_020745695.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""B03790""",,"Attribute ""Smithsonian""",,,,,,,,,,,,,"Attribute ""C. A. Ross""",,,,"Attribute ""1989-05-10""",,,,,,"Attribute ""1989-05-10""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Philippines: Cagayan, Luzon Island (Barrio Via Sitio Hot Springs Baggao Mun.)""",,,,,,,,,"Attribute ""bHemCom1""",,,,,,"Attribute ""17.85 N 121.98 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,"Attribute ""USNM 607338""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""heart, muscle, liver""",,,,,
90,GCA_020745705.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""B03790""",,"Attribute ""Smithsonian""",,,,,,,,,,,,,"Attribute ""C. A. Ross""",,,,"Attribute ""1989-05-10""",,,,,,"Attribute ""1989-05-10""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Philippines: Cagayan, Luzon Island (Barrio Via Sitio Hot Springs Baggao Mun.)""",,,,,,,,,"Attribute ""bHemCom1""",,,,,,"Attribute ""17.85 N 121.98 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,"Attribute ""USNM 607338""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""heart, muscle, liver""",,,,,
91,GCA_020745775.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""B20749""",,"Attribute ""Smithsonian""",,,"Attribute ""South America""",,,,,,,,,,"Attribute ""C. M. Milensky""",,,,"Attribute ""2005-10-26""",,,,,,"Attribute ""26-Oct-2005""",,,"Attribute ""juvenile chick""",,,,,,,,,,"Attribute ""Uruguay: Rocha""",,,,,,,,,"Attribute ""bTheCae1""",,,,,,"Attribute ""33.741944 S 53.746111 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,"Attribute ""USNM 636095""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""heart, muscle, liver""",,,,,
92,GCA_020745805.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""B20749""",,"Attribute ""Smithsonian""",,,"Attribute ""South America""",,,,,,,,,,"Attribute ""C. M. Milensky""",,,,"Attribute ""2005-10-26""",,,,,,"Attribute ""26-Oct-2005""",,,"Attribute ""juvenile chick""",,,,,,,,,,"Attribute ""Uruguay: Rocha""",,,,,,,,,"Attribute ""bTheCae1""",,,,,,"Attribute ""33.741944 S 53.746111 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,"Attribute ""USNM 636095""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""heart, muscle, liver""",,,,,
93,GCA_020746095.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""B05987""",,"Attribute ""Smithsonian""",,,"Attribute ""Argentina""",,,,,,,,,,"Attribute ""D. A. Banin""",,,,"Attribute ""1995-10-29""",,,,,,"Attribute ""29-Oct-1995""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Argentina: Posadas, Misiones""",,,,,,,,,"Attribute ""bTroSur1""",,,,,,"Attribute ""26.955278 S 55.087778 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,"Attribute ""USNM 620787""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""heart, muscle, liver""",,"Attribute ""flash frozen""",,,
94,GCA_020746105.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""B05987""",,"Attribute ""Smithsonian""",,,"Attribute ""Argentina""",,,,,,,,,,"Attribute ""D. A. Banin""",,,,"Attribute ""1995-10-29""",,,,,,"Attribute ""29-Oct-1995""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Argentina: Posadas, Misiones""",,,,,,,,,"Attribute ""bTroSur1""",,,,,,"Attribute ""26.955278 S 55.087778 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,"Attribute ""USNM 620787""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""heart, muscle, liver""",,"Attribute ""flash frozen""",,,
97,GCA_023344045.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""adult""",,,,,"Attribute ""Icelandic Institute of Natural History""",,,,,,,,,,,"by	Attribute ""Kristinn P. Magnusson""",,,,,,,,,,,,,,,"Attribute ""adult""",,,,,,,,,,,"location	Attribute ""Iceland: Husavik, NE""",,,,,,,,"Attribute ""bLagMut1""",,,,,,,"and longitude	Attribute ""66.088900 N 17.264700 W""",,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,"conditions	Attribute ""dry ice, -70 C""",,,,,,,,,"Attribute ""blood""",,"Attribute ""liquid nitrogen""",,,
98,GCA_023634115.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Farooq Omar Al-Ajli, Qatar Falcon Genome Project""",,,,,,,,,,,,,"Attribute ""Farooq Omar Al-Ajli, Souq Waqif Falcon Hospital""",,,,"Attribute ""2020-02-12""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Qatar:Doha""",,,,,,,,,"Attribute ""bFalChe1""",,,,,,"Attribute ""25.286106 N 51.534817 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""-80C""",,,,,,,,"Attribute ""blood""",,"Attribute ""Preserved EDTA + 1mL ethanol""",,,
99,GCA_023634185.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Farooq Omar Al-Ajli, Qatar Falcon Genome Project""",,,,,,,,,,,,,"Attribute ""Farooq Omar Al-Ajli, Souq Waqif Falcon Hospital""",,,,"Attribute ""2020-02-16""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Qatar:Doha""",,,,,,,,,"Attribute ""bFalPer1""",,,,,,"Attribute ""25.286106 N 51.534817 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""-80C""",,,,,,,,"Attribute ""blood""",,"Attribute ""Preserved EDTA + 1mL ethanol""",,,
101,GCA_023637925.2,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Brazil: Gunma Ecological Park""",,,,,,,,,"Attribute ""PSU5""",,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,,,,,,,,,"Attribute ""brain""",,,,,
102,GCA_023637945.2,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Brazil: Gunma Ecological Park""",,,,,,,,,"Attribute ""PSU5""",,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,,,,,,,,,"Attribute ""brain""",,,,,
103,GCA_023851605.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""5 years""",,,,,"Attribute ""Leibniz Institute for Zoo and Wildlife Research (IZW)""",,"Attribute ""01-Mar-2012""","Attribute ""Gayana""",,,,,,,,,,"Attribute ""Gudrun Wibbelt""",,,,"Attribute ""2017-01-02""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Guyana""",,,,,,,,,"Attribute ""mTamTet1""",,"Attribute ""zoo speciman""",,,,"Attribute ""4.917311 N 58.943462 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""Anton""",,,,"Attribute ""spleen""",,"Attribute ""frozen""",,,
104,GCA_023853755.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""5 years""",,,,,"Attribute ""Leibniz Institute for Zoo and Wildlife Research (IZW)""",,"Attribute ""01-Mar-2012""","Attribute ""Gayana""",,,,,,,,,,"Attribute ""Gudrun Wibbelt""",,,,"Attribute ""2017-01-02""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Guyana""",,,,,,,,,"Attribute ""mTamTet1""",,"Attribute ""zoo speciman""",,,,"Attribute ""4.917311 N 58.943462 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""Anton""",,,,"Attribute ""spleen""",,"Attribute ""frozen""",,,
107,GCA_024294585.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Universitat Pompeu Fabra""",,,"Attribute ""Spain""",,,,,,,,,,"Attribute ""Institute of Evolutionary Biology""",,,,"Attribute ""2020-05-05""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Spain: Beceite""",,,,,,,,,"Attribute ""rVipLat1""",,,,,,"Attribute ""40.831619 N 0.183031 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,,,,,,,,,"Attribute ""blood""",,"Attribute ""95% EtOH frozen""",,,
108,GCA_024294605.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Universitat Pompeu Fabra""",,,"Attribute ""Spain""",,,,,,,,,,"Attribute ""Institute of Evolutionary Biology""",,,,"Attribute ""2020-05-05""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Spain: Beceite""",,,,,,,,,"Attribute ""rVipLat1""",,,,,,"Attribute ""40.831619 N 0.183031 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,,,,,,,,,"Attribute ""blood""",,"Attribute ""95% EtOH frozen""",,,
109,GCA_024803775.1,no,no,lat_lon,not assessed,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Christopher J. Conroy""",,,,"Attribute ""2020-11-21""",,,,,,"Attribute ""2020-11-21""",,,"Attribute ""adult""",,"Attribute ""bottae""",,,,,,,,"Attribute ""USA:California, Contra Costa County, Richmond Field Station""",,,,,,,,,"Attribute ""MVZ:Mamm:240275""",,,,,,"Attribute ""37.91663 N 122.3322 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,"Attribute ""MVZ:Mamm:240275""",,,,,,,,,,"Attribute ""liver""",,,,,
110,GCA_025094165.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""San Diego Zoo Wildlife Alliance/Hubbs SeaWorld Research Institute""",,,,,,,,,,"Attribute ""cultured fribroblasts from skin""",,,"Attribute ""Judy St. Leger""",,,,"Attribute ""2011-01-11""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""USA: Florida, Melbourne Beach""",,,,,,,,,"Attribute ""mMesDen1""",,,,,,"Attribute ""27.883333 N 80.457294 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""liquid nitrogen""",,,,,,,,"Attribute ""muscle""",,"Attribute ""established a cell line""",,,
111,GCA_026229955.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""James L. Patton""",,,,,,,,,,"Attribute ""2020-08-09""",,,"Attribute ""adult""",,,,,,,,,,"Attribute ""USA:California, Kern County, Cameron Creek, Tehachapi Mts.""",,,,,,,,,"Attribute ""MVZ:Mamm:240117""",,,,,,"Attribute ""35.09131 N 118.30937 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,"Attribute ""MVZ:Mamm:240117""",,,,,"Attribute ""sonoriensis""",,,,,"Attribute ""liver""",,,,,
112,GCA_026230055.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Devaughn Fraser""",,,,"Attribute ""2020-09-27""",,,,,,,,,"Attribute ""juvenile""",,,,,,,,,,"Attribute ""USA:California, Inyo County""",,,,,,,,,"Attribute ""COTO_CA2020_CCGP""",,,,,,"Attribute ""37.466259 N 118.318325 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,"Attribute ""CDFW_GRL COTO_CA2020_CCGP""",,,,,,,,,,"Attribute ""Cultured cells""",,,,,
113,GCA_026419925.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Guilherme Oliveira""",,,,,,,,,,,,,"Attribute ""Tomas Hrbek""",,,,"Attribute ""2002-06-24""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Brazil: Sao Jose do Laguinho / / Gleba Vila Amazonia in the municipality of Parintins""",,,,,,,,,"Attribute ""bHarHar1""",,,,,,"Attribute ""2.625833 S 56.649722 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""-80oC""",,,,,,,,"Attribute ""blood""",,,,,
115,GCA_027172095.1,no,no,lat_lon,NA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""University of Florence""",,,,,,,,,,,,,"Attribute ""Claudio Ciofi""",,,,"Attribute ""2020-07-01""",,,,,,,,,"Attribute ""adult""",,"Attribute ""La Canna islet""",,,,,,,,"Attribute ""Italy: Stromboli Island""",,,,,,,,,"Attribute ""rPodRaf1""",,,,,,"Attribute ""38.788175 N 15.229709 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,"Attribute ""LC15""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""blood, muscle""",,"Attribute ""Liquid nitrogen""",,,
116,GCA_027382365.1,no,no,lat_lon,NA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Karen Pfenning, UNC Chapel Hill""",,,,,,,,,,,,,"Attribute ""Catherine Chen""",,,,"Attribute ""2019-07-01""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""USA: Anton, Colorado""",,,,,,,,,"Attribute ""aSpeBom1""",,,,,,"Attribute ""39.74511 N 103.19081 W""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""-80oC""",,,,,,,,"Attribute ""muscle""",,"Attribute ""flash frozen""",,,
119,GCA_027409165.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mammals #	Attribute ""458983""",,,,,,,,,"Attribute ""Felix Grewe and Adam W Ferguson, Chicago Field Museum""",,,,,,,,,,,,,"Attribute ""Paul D. Helderman""",,,,"Attribute ""1987-04-06""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Philippines: Leyte Province, Leyte Island, Baybay""",,,,,,,,,"Attribute ""mCynVol1""",,,,,,"Attribute ""10.75 N 124.8 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,"Attribute ""-80oC""",,,,,,,,"Attribute ""heart, kidney""",,"Attribute ""flash frozen in liquid nitrogen""",,,
120,GCA_027409835.1,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Biotechnology Program of the Korea Institute of Marine Science and Technology Promotion (KIMST)	Attribute ""20180430""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""1 year""",,,,,"Attribute ""Chul Lee and Heebal Kim, Seoul National University""",,,,,,,,,,,,,"Attribute ""JinGu Kim and Chul Lee""",,,,"Attribute ""2019-07-08""",,,,,,"Attribute ""08-Jul-2019""",,,"Attribute ""juvenile""",,,,,,,,,,"Attribute ""South Korea: Gyeongsangnam, near Dara National Park""",,,,,,,,,"Attribute ""fScoJap1""",,,,,,"Attribute ""34.77106278 N 128.39832655 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,"Attribute ""20180430""",,"Attribute ""-80oC""",,,,,,,,"Attribute ""muscle, liver, gill, brain, gonad""",,"Attribute ""liquid nitrogen""",,,
